_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
1966,JOURNAL OF NEUROSURGERY,0022-3085,1933-0693,SURGERY - SCIE,"43,275",5.12,Q1,1.77,0.93%
1967,Burns & Trauma,2321-3868,2321-3876,SURGERY - SCIE; EMERGENCY MEDICINE - SCIE,937,5.10,Q1; Q1,1.3,99.12%
1968,Bone & Joint Journal,2049-4394,2049-4394,SURGERY - SCIE,"9,587",5.08,Q1,1.9,6.30%
1969,Hepatology Communications,N/A,2471-254X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,919",5.07,Q2,0.92,100.00%
1970,TRANSPLANTATION,0041-1337,1534-6080,SURGERY - SCIE,"27,214",4.94,Q1,1.35,4.09%
1971,Journal of Neurogastroenterology and Motility,2093-0879,2093-0887,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,217",4.92,Q2,0.89,99.42%
1972,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,0749-8063,1526-3231,SURGERY - SCIE,"20,208",4.77,Q1,1.72,1.23%
1973,Hernia,1265-4906,1248-9204,SURGERY - SCIE,"5,350",4.74,Q1,1.23,15.45%
1974,Surgery for Obesity and Related Diseases,1550-7289,1878-7533,SURGERY - SCIE,"10,541",4.73,Q1,1.57,2.97%
1975,PLASTIC AND RECONSTRUCTIVE SURGERY,0032-1052,1529-4242,SURGERY - SCIE,"45,656",4.73,Q1,1.64,1.74%
1976,NEUROSURGERY,0148-396X,1524-4040,SURGERY - SCIE,"34,635",4.65,Q1,1.64,7.44%
1977,United European Gastroenterology Journal,2050-6406,2050-6414,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,252",4.62,Q2,0.78,15.99%
1978,JAMA Facial Plastic Surgery,2168-6076,2168-6092,SURGERY - SCIE,"1,662",4.61,Q1,1.34,1.59%
1979,DISEASES OF THE COLON & RECTUM,0012-3706,1530-0358,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"16,654",4.59,Q1; Q2,1.3,1.85%
1980,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,0930-2794,1432-2218,SURGERY - SCIE,"31,681",4.58,Q1,1.62,11.28%
1981,Gut and Liver,1976-2283,2005-1212,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,172",4.52,Q2,0.77,90.91%
1982,Clinical and Translational Gastroenterology,N/A,2155-384X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,243",4.49,Q2,0.87,100.00%
1983,EJSO,0748-7983,1532-2157,SURGERY - SCIE,"12,510",4.42,Q1,1.16,5.23%
1984,Therapeutic Advances in Gastroenterology,1756-283X,1756-2848,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,367",4.41,Q2,0.68,100.00%
1985,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,0942-2056,1433-7347,SURGERY - SCIE,"21,052",4.34,Q1,1.53,14.28%
1986,ANNALS OF THORACIC SURGERY,0003-4975,1552-6259,SURGERY - SCIE,"41,620",4.33,Q1,1.18,0.34%
1987,HEPATOLOGY RESEARCH,1386-6346,1872-034X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"5,658",4.29,Q2,0.86,8.58%
1988,Aesthetic Surgery Journal,1090-820X,1527-330X,SURGERY - SCIE,"5,829",4.28,Q1,1.59,7.40%
1989,JOURNAL OF VASCULAR SURGERY,0741-5214,N/A,SURGERY - SCIE,"31,991",4.27,Q1,1.16,2.70%
1990,Esophagus,1612-9059,1612-9067,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,005",4.23,Q2,0.82,14.65%
1991,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,1010-7940,1873-734X,SURGERY - SCIE,"18,818",4.19,Q1,1.17,6.03%
1992,Gut Pathogens,1757-4749,1757-4749,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,044",4.18,Q2,0.78,100.00%
1993,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,0009-921X,1528-1132,SURGERY - SCIE,"44,823",4.18,Q1,1.7,1.62%
1994,OBESITY SURGERY,0960-8923,1708-0428,SURGERY - SCIE,"19,974",4.13,Q1,1.48,12.05%
1995,Journal of Clinical and Translational Hepatology,2225-0719,2310-8819,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,450",4.11,Q2,0.66,82.14%
1996,Annals of Cardiothoracic Surgery,2225-319X,2304-1021,SURGERY - SCIE,"2,434",4.10,Q1,1.04,67.33%
1997,DIGESTIVE AND LIVER DISEASE,1590-8658,1878-3562,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"8,209",4.09,Q2,0.73,3.55%
1998,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,0193-1857,1522-1547,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"16,609",4.05,Q2,0.99,2.98%
1999,Neurosurgical Focus,1092-0684,1092-0684,SURGERY - SCIE,"9,818",4.05,Q1,1.21,3.98%
2000,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,0815-9319,1440-1746,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"15,451",4.03,Q2,0.8,4.96%
2001,LASERS IN SURGERY AND MEDICINE,0196-8092,1096-9101,SURGERY - SCIE,"7,332",4.03,Q1,1.39,11.86%
2002,PANCREATOLOGY,1424-3903,1424-3911,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"5,526",4.00,Q2,0.78,5.43%
2003,SURGERY,0039-6060,N/A,SURGERY - SCIE,"25,223",3.98,Q1,1.5,2.16%
2004,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,0898-4921,1537-1921,SURGERY - SCIE,"1,988",3.96,Q1,1.04,1.47%
2005,Emergencias,1137-6821,N/A,EMERGENCY MEDICINE - SCIE,872,3.88,Q1,1.28,0.00%
2006,Expert Review of Gastroenterology & Hepatology,1747-4124,1747-4132,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,069",3.87,Q3,0.58,2.38%
2007,GASTROENTEROLOGY CLINICS OF NORTH AMERICA,0889-8553,1558-1942,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,805",3.81,Q3,0.93,0.68%
2008,Colorectal Disease,1462-8910,1463-1318,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"8,971",3.79,Q1; Q3,0.9,13.30%
2009,TRANSPLANT INTERNATIONAL,0934-0874,1432-2277,SURGERY - SCIE,"5,770",3.78,Q1,1.2,18.02%
2010,Techniques in Coloproctology,1123-6337,1128-045X,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,480",3.78,Q1; Q3,0.86,17.69%
2011,Hepatobiliary & Pancreatic Diseases International,1499-3872,2352-9377,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,334",3.78,Q3,0.57,0.00%
2012,JOURNAL OF VIRAL HEPATITIS,1352-0504,1365-2893,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"5,219",3.73,Q3,0.95,10.52%
2013,Journal of Gastric Cancer,2093-582X,2093-5641,GASTROENTEROLOGY & HEPATOLOGY - SCIE,988,3.72,Q3,0.61,50.00%
2014,European Journal of Trauma and Emergency Surgery,1863-9933,1863-9941,EMERGENCY MEDICINE - SCIE,"2,558",3.69,Q1,1.24,22.67%
2015,Gastroenterology Report,2052-0034,2052-0034,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,115",3.65,Q3,0.61,100.00%
2016,HPB,1365-182X,1477-2574,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"6,923",3.65,Q1; Q3,1.01,1.92%
2017,WOUND REPAIR AND REGENERATION,1067-1927,1524-475X,SURGERY - SCIE,"7,277",3.62,Q1,0.93,13.79%
2018,JOURNAL OF NEUROSURGERY-SPINE,1547-5654,1547-5646,SURGERY - SCIE,"10,175",3.60,Q1,1.13,0.32%
2019,NEUROGASTROENTEROLOGY AND MOTILITY,1350-1925,1365-2982,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"10,724",3.60,Q3,0.78,11.07%
2020,JOURNAL OF REFRACTIVE SURGERY,1081-597X,1938-2391,SURGERY - SCIE,"5,617",3.57,Q1,1.36,0.97%
2021,Perioperative Medicine,N/A,2047-0525,SURGERY - SCIE,497,3.54,Q2,1.16,100.00%
2022,Canadian Journal of Gastroenterology and Hepatology,2291-2789,2291-2797,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,130",3.52,Q3,0.5,100.00%
2023,OTOLARYNGOLOGY-HEAD AND NECK SURGERY,0194-5998,1097-6817,SURGERY - SCIE,"19,487",3.50,Q2,1.28,2.82%
2024,Surgical Oncology Clinics of North America,1055-3207,1558-5042,SURGERY - SCIE,"1,726",3.50,Q2,0.83,0.00%
2025,Neurospine,2586-6583,2586-6591,SURGERY - SCIE,498,3.49,Q2,0.91,100.00%
2026,JOURNAL OF ENDOVASCULAR THERAPY,1526-6028,1545-1550,SURGERY - SCIE,"4,318",3.49,Q2,1.04,11.58%
2027,JOURNAL OF SURGICAL ONCOLOGY,0022-4790,1096-9098,SURGERY - SCIE,"14,157",3.45,Q2,0.93,4.18%
2028,SHOCK,1073-2322,1540-0514,SURGERY - SCIE,"9,489",3.45,Q2,1.08,5.11%
2029,JOURNAL OF GASTROINTESTINAL SURGERY,1091-255X,1873-4626,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"13,867",3.45,Q2; Q3,0.91,5.18%
2030,ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,EMERGENCY MEDICINE - SCIE,"11,785",3.45,Q1,1.52,3.43%
2031,LANGENBECKS ARCHIVES OF SURGERY,1435-2443,1435-2451,SURGERY - SCIE,"5,093",3.45,Q2,1.08,19.15%
2032,DISEASES OF THE ESOPHAGUS,1120-8694,1442-2050,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"4,495",3.43,Q3,0.52,5.85%
2033,DERMATOLOGIC SURGERY,1076-0512,1524-4725,SURGERY - SCIE,"10,750",3.40,Q2,0.89,1.83%
2034,BJS Open,2474-9842,2474-9842,SURGERY - SCIE,683,3.40,Q2,1.08,100.00%
2035,World Journal of Gastrointestinal Oncology,1948-5204,1948-5204,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,922",3.39,Q3,0.5,95.85%
2036,WORLD JOURNAL OF SURGERY,0364-2313,1432-2323,SURGERY - SCIE,"21,622",3.35,Q2,1.16,14.16%
2037,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,0886-3350,1873-4502,SURGERY - SCIE,"16,061",3.35,Q2,1.16,2.77%
2038,PANCREAS,0885-3177,1536-4828,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"8,783",3.33,Q3,0.61,5.20%
2039,International Wound Journal,1742-4801,1742-481X,SURGERY - SCIE,"4,946",3.32,Q2,1.19,17.42%
2040,Journal of Trauma and Acute Care Surgery,2163-0755,2163-0763,SURGERY - SCIE,"11,459",3.31,Q2,1,1.22%
2041,CURRENT OPINION IN GASTROENTEROLOGY,0267-1379,1531-7056,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,286",3.29,Q3,0.5,0.48%
2042,SURGICAL ONCOLOGY-OXFORD,0960-7404,1879-3320,SURGERY - SCIE,"3,000",3.28,Q2,0.83,5.69%
2043,DIGESTION,0012-2823,1421-9867,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,509",3.22,Q3,0.68,4.71%
2044,DIGESTIVE DISEASES AND SCIENCES,0163-2116,1573-2568,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"19,852",3.20,Q3,0.64,5.69%
2045,LASERS IN MEDICAL SCIENCE,0268-8921,1435-604X,SURGERY - SCIE,"7,562",3.16,Q2,0.87,5.49%
2046,HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,1043-3074,1097-0347,SURGERY - SCIE,"16,925",3.15,Q2,1.27,6.81%
2047,Prehospital Emergency Care,1090-3127,1545-0066,EMERGENCY MEDICINE - SCIE,"3,310",3.08,Q1,1.25,2.70%
2048,Minerva Gastroenterologica e Dietologica,0026-4776,1827-1642,GASTROENTEROLOGY & HEPATOLOGY - SCIE,610,3.07,Q3,0.5,0.00%
2049,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,0936-8051,1434-3916,SURGERY - SCIE,"8,816",3.07,Q2,1.02,16.51%
2050,BMC GASTROENTEROLOGY,N/A,1471-230X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"6,821",3.07,Q3,0.59,100.00%
2051,JOURNAL OF CLINICAL GASTROENTEROLOGY,0192-0790,1539-2031,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"9,144",3.06,Q3,0.67,3.19%
2052,Best Practice & Research Clinical Gastroenterology,1521-6918,1532-1916,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,919",3.04,Q3,0.75,1.03%
2053,NEUROSURGICAL REVIEW,0344-5607,1437-2320,SURGERY - SCIE,"3,616",3.04,Q2,0.92,11.93%
2054,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,1067-151X,1940-5480,SURGERY - SCIE,"8,269",3.02,Q2,0.92,1.21%
2055,JOURNAL OF SHOULDER AND ELBOW SURGERY,1058-2746,N/A,SURGERY - SCIE,"16,721",3.02,Q2,1.14,2.65%
2056,Gland Surgery,2227-684X,2227-8575,SURGERY - SCIE,"1,734",2.95,Q2,0.8,88.89%
2057,Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,1757-7241,1757-7241,EMERGENCY MEDICINE - SCIE,"3,161",2.95,Q2,1.32,100.00%
2058,Clinics and Research in Hepatology and Gastroenterology,2210-7401,2210-741X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,157",2.95,Q3,0.54,1.72%
2059,International Journal of Computer Assisted Radiology and Surgery,1861-6410,1861-6429,SURGERY - SCIE,"3,780",2.92,Q2,0.9,20.26%
2060,Journal of Gastrointestinal Oncology,2078-6891,2219-679X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,761",2.89,Q4,0.52,74.13%
2061,Journal of Surgical Education,1931-7204,1878-7452,SURGERY - SCIE,"4,853",2.89,Q2,1.1,1.37%
2062,JOURNAL OF RECONSTRUCTIVE MICROSURGERY,0743-684X,1098-8947,SURGERY - SCIE,"3,242",2.87,Q2,0.93,0.00%
2063,CLINICAL TRANSPLANTATION,0902-0063,1399-0012,SURGERY - SCIE,"6,281",2.86,Q2,0.88,3.57%
2064,Journal of Vascular Surgery-Venous and Lymphatic Disorders,2213-333X,2213-333X,SURGERY - SCIE,"1,769",2.86,Q2,0.82,4.28%
2065,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,0277-2116,1536-4801,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"15,311",2.84,Q4,0.96,3.07%
2066,European Journal of Emergency Medicine,0969-9546,1473-5695,EMERGENCY MEDICINE - SCIE,"2,113",2.80,Q2,1.2,5.02%
2067,Updates in Surgery,2038-131X,2038-3312,SURGERY - SCIE,"1,663",2.80,Q2,0.95,11.41%
2068,PHOTOMEDICINE AND LASER SURGERY,1549-5418,1557-8550,SURGERY - SCIE,"3,542",2.80,Q2,0.79,1.02%
2069,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,0901-5027,1399-0020,SURGERY - SCIE,"10,324",2.79,Q2,0.96,2.91%
2070,Asian Journal of Surgery,1015-9584,0219-3108,SURGERY - SCIE,"1,603",2.77,Q2,0.9,100.00%
2071,Seminars in Pediatric Surgery,1055-8586,1532-9453,SURGERY - SCIE,"2,233",2.75,Q2,1.11,2.16%
2072,World Journal of Surgical Oncology,N/A,1477-7819,SURGERY - SCIE,"6,910",2.75,Q2,0.68,100.00%
2073,BURNS,0305-4179,1879-1409,SURGERY - SCIE,"10,973",2.74,Q2,0.78,3.80%
2074,SURGICAL CLINICS OF NORTH AMERICA,0039-6109,1558-3171,SURGERY - SCIE,"4,502",2.74,Q2,1.1,0.39%
2075,EMERGENCY MEDICINE JOURNAL,1472-0205,1472-0213,EMERGENCY MEDICINE - SCIE,"6,390",2.74,Q2,1.25,12.88%
2076,Journal of Plastic Reconstructive and Aesthetic Surgery,1748-6815,1878-0539,SURGERY - SCIE,"8,470",2.74,Q2,0.83,2.48%
2077,Frontiers in Surgery,2296-875X,2296-875X,SURGERY - SCIE,"1,238",2.72,Q2,0.75,100.00%
2078,Operative Neurosurgery,2332-4252,2332-4260,SURGERY - SCIE,"2,150",2.70,Q2,0.81,2.55%
2079,Journal of Hand Surgery-European Volume,1753-1934,2043-6289,SURGERY - SCIE,"6,037",2.69,Q2,0.75,7.49%
2080,Ostomy Wound Management,0889-5899,1943-2720,SURGERY - SCIE,"1,451",2.63,Q2,0.68,0.00%
2081,DIGESTIVE SURGERY,0253-4886,1421-9883,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,652",2.59,Q2; Q4,0.74,9.05%
2082,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,0020-1383,1879-0267,SURGERY - SCIE; EMERGENCY MEDICINE - SCIE,"19,692",2.59,Q2; Q2,0.86,4.88%
2083,World Journal of Gastrointestinal Surgery,1948-9366,1948-9366,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,299",2.58,Q2; Q4,0.53,96.30%
2084,INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,0179-1958,1432-1262,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"8,097",2.57,Q2; Q4,0.74,14.04%
2085,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,0954-691X,1473-5687,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"7,696",2.57,Q4,0.5,2.74%
2086,AMERICAN JOURNAL OF SURGERY,0002-9610,1879-1883,SURGERY - SCIE,"21,583",2.57,Q2,0.92,1.26%
2087,SURGERY TODAY,0941-1291,1436-2813,SURGERY - SCIE,"5,872",2.55,Q2,0.86,7.67%
2088,International Journal of Medical Robotics and Computer Assisted Surgery,1478-5951,1478-596X,SURGERY - SCIE,"2,222",2.55,Q2,0.92,7.83%
2089,JOURNAL OF PEDIATRIC SURGERY,0022-3468,1531-5037,SURGERY - SCIE,"20,364",2.55,Q2,1,1.47%
2090,JOURNAL OF INVESTIGATIVE SURGERY,0894-1939,1521-0553,SURGERY - SCIE,"1,586",2.53,Q2,0.82,4.94%
2091,NEUROSURGERY CLINICS OF NORTH AMERICA,1042-3680,1558-1349,SURGERY - SCIE,"2,414",2.51,Q2,0.86,2.92%
2092,Saudi Journal of Gastroenterology,1319-3767,1998-4049,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,373",2.49,Q4,0.45,100.00%
2093,AMERICAN JOURNAL OF EMERGENCY MEDICINE,0735-6757,1532-8171,EMERGENCY MEDICINE - SCIE,"12,567",2.47,Q2,1.04,1.82%
2094,Western Journal of Emergency Medicine,1936-900X,1936-9018,EMERGENCY MEDICINE - SCIE,"3,365",2.45,Q2,1.01,100.00%
2095,MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES,1364-5706,1365-2931,SURGERY - SCIE,"1,319",2.44,Q2,0.63,2.49%
2096,MICROSURGERY,0738-1085,1098-2752,SURGERY - SCIE,"4,125",2.43,Q2,0.82,2.97%
2097,SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,0036-5521,1502-7708,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"10,164",2.42,Q4,0.48,12.31%
2098,Canadian Journal of Emergency Medicine,1481-8035,1481-8043,EMERGENCY MEDICINE - SCIE,"1,954",2.41,Q2,0.82,3.46%
2099,DIGESTIVE DISEASES,0257-2753,1421-9875,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,151",2.40,Q4,0.56,3.91%
2100,Annals of Hepatology,1665-2681,1665-2681,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,610",2.40,Q4,0.47,97.95%
2101,SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,1479-666X,2405-5840,SURGERY - SCIE,"1,702",2.39,Q3,0.86,1.20%
2102,Journal of Neurosurgery-Pediatrics,1933-0707,1933-0715,SURGERY - SCIE,"5,911",2.38,Q3,0.88,0.37%
2103,Clinics in Colon and Rectal Surgery,1531-0043,1530-9681,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,666",2.37,Q3; Q4,0.6,0.00%
2104,Scandinavian Journal of Surgery,1457-4969,1799-7267,SURGERY - SCIE,"1,361",2.36,Q3,0.83,9.79%
2105,Advances in Skin & Wound Care,1527-7941,1538-8654,SURGERY - SCIE,"1,782",2.35,Q3,0.88,6.28%
2106,AESTHETIC PLASTIC SURGERY,0364-216X,1432-5241,SURGERY - SCIE,"5,410",2.33,Q3,0.73,7.50%
2107,Journal of Digestive Diseases,1751-2972,1751-2980,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"2,031",2.33,Q4,0.41,5.33%
2108,Seminars in Plastic Surgery,1535-2188,1536-0067,SURGERY - SCIE,"1,256",2.31,Q3,0.62,0.00%
2109,Journal of Neurosurgical Sciences,0390-5616,1827-1855,SURGERY - SCIE,"1,160",2.28,Q3,0.44,0.00%
2110,World Journal Of Emergency Medicine,1920-8642,****-****,EMERGENCY MEDICINE - SCIE,785,2.27,Q2,0.9,0.00%
2111,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,0733-8627,1558-0539,EMERGENCY MEDICINE - SCIE,"1,566",2.26,Q3,1.16,1.19%
2112,Gastroenterology Research and Practice,1687-6121,1687-630X,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"3,948",2.26,Q4,0.32,100.00%
2113,Orthopaedics & Traumatology-Surgery & Research,1877-0568,1877-0568,SURGERY - SCIE,"5,600",2.26,Q3,0.78,0.78%
2114,Journal of Cosmetic and Laser Therapy,1476-4172,1476-4180,SURGERY - SCIE,"1,570",2.25,Q3,0.59,1.02%
2115,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,0363-5023,1531-6564,SURGERY - SCIE,"14,875",2.23,Q3,0.79,0.86%
2116,Photobiomodulation Photomedicine and Laser Surgery,N/A,2578-5478,SURGERY - SCIE,319,2.22,Q3,0.85,4.57%
2117,ACTA NEUROCHIRURGICA,0001-6268,0942-0940,SURGERY - SCIE,"11,865",2.22,Q3,0.68,19.26%
2118,KNEE,0968-0160,1873-5800,SURGERY - SCIE,"6,011",2.20,Q3,0.82,1.71%
2119,JOURNAL OF SURGICAL RESEARCH,0022-4804,1095-8673,SURGERY - SCIE,"17,062",2.19,Q3,0.84,1.50%
2120,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,0939-7248,1439-359X,SURGERY - SCIE,"2,105",2.19,Q3,0.87,0.36%
2121,JSLS-Journal of the Society of Laparoendoscopic Surgeons,1086-8089,N/A,SURGERY - SCIE,"2,396",2.17,Q3,0.58,89.10%
2122,Emergency Medicine Australasia,1742-6731,1742-6723,EMERGENCY MEDICINE - SCIE,"2,329",2.15,Q3,0.87,1.79%
2123,Surgical Infections,1096-2964,1557-8674,SURGERY - SCIE,"3,093",2.15,Q3,0.72,2.34%
2124,BMC EMERGENCY MEDICINE,1471-227X,1471-227X,EMERGENCY MEDICINE - SCIE,"1,177",2.12,Q3,0.99,100.00%
2125,World Neurosurgery,1878-8750,1878-8769,SURGERY - SCIE,"23,506",2.10,Q3,0.63,0.79%
2126,Gastroenterologia y Hepatologia,0210-5705,0210-5705,GASTROENTEROLOGY & HEPATOLOGY - SCIE,788,2.10,Q4,0.26,7.84%
2127,BMC Surgery,N/A,1471-2482,SURGERY - SCIE,"2,772",2.10,Q3,0.79,100.00%
2128,CANADIAN JOURNAL OF SURGERY,0008-428X,1488-2310,SURGERY - SCIE,"3,251",2.09,Q3,0.63,0.00%
2129,REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,1130-0108,2340-4167,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,999",2.09,Q4,0.3,100.00%
2130,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,1010-5182,1878-4119,SURGERY - SCIE,"7,808",2.08,Q3,0.84,0.96%
2131,Arab Journal of Gastroenterology,1687-1979,2090-2387,GASTROENTEROLOGY & HEPATOLOGY - SCIE,504,2.08,Q4,0.24,0.00%
2132,Surgical Innovation,1553-3506,1553-3514,SURGERY - SCIE,"1,669",2.06,Q3,0.65,4.79%
2133,International Journal of Lower Extremity Wounds,1534-7346,1552-6941,SURGERY - SCIE,"1,152",2.06,Q3,0.69,0.00%
2134,Journal of Visceral Surgery,1878-7886,1878-7886,SURGERY - SCIE,"1,265",2.04,Q3,0.6,0.65%
2135,Prehospital and Disaster Medicine,1049-023X,1945-1938,EMERGENCY MEDICINE - SCIE,"2,543",2.04,Q3,0.85,5.57%
2136,CLINICS IN PLASTIC SURGERY,0094-1298,1558-0504,SURGERY - SCIE,"2,943",2.02,Q3,0.77,5.75%
2137,Journal of Gastrointestinal and Liver Diseases,1841-8724,1842-1121,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,735",2.01,Q4,0.4,44.66%
2138,ZEITSCHRIFT FUR GASTROENTEROLOGIE,0044-2771,1439-7803,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,594",2.00,Q4,0.3,0.44%
2139,Visceral Medicine,2297-4725,2297-475X,SURGERY - SCIE; GASTROENTEROLOGY & HEPATOLOGY - SCIE,579,1.96,Q3; Q4,0.52,7.69%
2140,Journal of Hand Therapy,0894-1130,1545-004X,SURGERY - SCIE,"2,077",1.95,Q3,0.66,2.11%
2141,Facial Plastic Surgery Clinics of North America,1064-7406,1558-1926,SURGERY - SCIE,"1,180",1.92,Q3,0.68,0.68%
2142,CURRENT PROBLEMS IN SURGERY,0011-3840,1535-6337,SURGERY - SCIE,629,1.91,Q3,0.39,0.00%
2143,Interactive Cardiovascular and Thoracic Surgery,1569-9293,1569-9285,SURGERY - SCIE,"6,701",1.91,Q3,0.54,0.36%
2144,ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,0035-8843,1478-7083,SURGERY - SCIE,"5,057",1.89,Q3,0.51,0.00%
2145,JOURNAL OF CARDIOVASCULAR SURGERY,0021-9509,1827-191X,SURGERY - SCIE,"2,091",1.89,Q3,0.4,0.00%
2146,Journal of Laparoendoscopic & Advanced Surgical Techniques,1092-6429,1557-9034,SURGERY - SCIE,"4,506",1.88,Q3,0.69,0.57%
2147,CLINICAL NEUROLOGY AND NEUROSURGERY,0303-8467,1872-6968,SURGERY - SCIE,"7,916",1.88,Q3,0.56,2.43%
2148,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,1011-6125,1423-0372,SURGERY - SCIE,"2,298",1.88,Q3,0.46,10.73%
2149,ANZ JOURNAL OF SURGERY,1445-1433,1445-2197,SURGERY - SCIE,"5,909",1.87,Q3,0.61,2.24%
2150,Geriatric Orthopaedic Surgery & Rehabilitation,2151-4585,2151-4593,SURGERY - SCIE,817,1.87,Q3,0.57,100.00%
2151,Annals of Surgical Treatment and Research,2288-6575,2288-6796,SURGERY - SCIE,"1,110",1.86,Q3,0.67,47.21%
2152,Turkish Journal of Gastroenterology,N/A,2148-5607,GASTROENTEROLOGY & HEPATOLOGY - SCIE,"1,482",1.85,Q4,0.3,0.00%
2153,Journal of Burn Care & Research,1559-047X,1559-0488,SURGERY - SCIE,"4,287",1.85,Q3,0.57,4.19%
