ID,Name,ISSN
1,"	N Engl J Med","	0028-4793"
2879,"	Cancer Causes Control","	0957-5243"
2880,"	Am Surg","	0003-1348"
2881,"	Am J Health Promot","	0890-1171"
2882,"	World J Surg","	0364-2313"
2883,"	Cutan Ocul Toxicol","	1556-9527"
2884,"	J Med Assoc Thai","	0125-2208"
2885,"	J Trauma Acute Care Surg","	2163-0755"
2886,"	Unfallchirurg","	0177-5537"
2887,"	BMC Geriatr","	1471-2318"
2888,"	Injury","	0020-1383"
2889,"	Int J Environ Res Public Health","	1661-7827"
2890,"	Scand J Trauma Resusc Emerg Med","	1757-7241"
2891,"	JAMA Netw Open","	2574-3805"
2892,"	J Trauma Acute Care Surg","	2163-0755"
2893,"	Int J Clin Pract","	1368-5031"
2894,"	Clin J Pain","	0749-8047"
2895,"	J Trauma","	0022-5282"
2896,"	BMJ Open","	2044-6055"
2897,"	Clin Exp Rheumatol","	0392-856X"
2898,"	Sleep","	0161-8105"
2899,"	Am J Cardiol","	0002-9149"
2900,"	Schizophr Res","	0920-9964"
2901,"	Oral Surg Oral Med Oral Pathol Oral Radiol","	"
2902,"	Zhonghua Wei Chang Wai Ke Za Zhi","	1671-0274"
2903,"	Crit Care","	1364-8535"
2904,"	Burns","	0305-4179"
2905,"	J Hosp Med","	1553-5592"
2906,"	J Behav Med","	0160-7715"
2907,"	J Pediatr Surg","	0022-3468"
2908,"	J Head Trauma Rehabil","	0885-9701"
2909,"	Qual Life Res","	0962-9343"
2910,"	Spine (Phila Pa 1976)","	0362-2436"
2911,"	Int J Surg","	1743-9159"
2912,"	Disabil Rehabil","	0963-8288"
2913,"	Transfus Clin Biol","	1246-7820"
2914,"	Neurocirugia (Astur)","	1130-1473"
2915,"	Am J Surg","	0002-9610"
2916,"	Pain Manag Nurs","	1524-9042"
2917,"	Am J Sports Med","	0363-5465"
2918,"	Spine (Phila Pa 1976)","	0362-2436"
2919,"	Surgery","	0039-6060"
2920,"	Leuk Res","	0145-2126"
2921,"	Medicine (Baltimore)","	0025-7974"
2922,"	Medicine (Baltimore)","	0025-7974"
2923,"	J Bone Joint Surg Am","	0021-9355"
2924,"	J Palliat Med","	1096-6218"
2925,"	Ann Thorac Surg","	0003-4975"
2926,"	J Pediatr Urol","	1477-5131"
2927,"	Circ Cardiovasc Qual Outcomes","	1941-7713"
2928,"	Clin Gastroenterol Hepatol","	1542-3565"
2929,"	Ann R Coll Surg Engl","	0035-8843"
2930,"	Am J Gastroenterol","	0002-9270"
2931,"	BMC Med Inform Decis Mak","	1472-6947"
2932,"	J Pediatr Surg","	0022-3468"
2933,"	Prehosp Emerg Care","	1090-3127"
2934,"	Anesth Analg","	0003-2999"
2935,"	J Trauma Acute Care Surg","	2163-0755"
2936,"	Aids","	0269-9370"
2937,"	J Wound Ostomy Continence Nurs","	1071-5754"
2938,"	J Am Acad Dermatol","	0190-9622"
2939,"	Injury","	0020-1383"
2940,"	Langenbecks Arch Surg","	1435-2443"
2941,"	Am Surg","	0003-1348"
2942,"	Pharmacoepidemiol Drug Saf","	1053-8569"
2943,"	J Hand Surg Am","	0363-5023"
2944,"	Headache","	0017-8748"
2945,"	J Manag Care Spec Pharm","	"
2946,"	Telemed J E Health","	1530-5627"
2947,"	Eur J Clin Pharmacol","	0031-6970"
2948,"	Asian Pac J Cancer Prev","	1513-7368"
2949,"	Lancet Respir Med","	2213-2600"
2950,"	Ann Surg Oncol","	1068-9265"
2951,"	Wound Repair Regen","	1067-1927"
2952,"	Surg Today","	0941-1291"
2953,"	Aust N Z J Obstet Gynaecol","	0004-8666"
2954,"	Head Neck","	1043-3074"
2955,"	Rheumatology (Oxford)","	1462-0324"
2956,"	J Neurosurg Pediatr","	1933-0707"
2957,"	Otolaryngol Head Neck Surg","	0194-5998"
2958,"	J Hand Surg Am","	0363-5023"
2959,"	Pediatr Res","	0031-3998"
2960,"	Am J Cardiol","	0002-9149"
2961,"	Arch Gerontol Geriatr","	0167-4943"
2962,"	J Neurosurg Spine","	1547-5646"
2963,"	Cardiovasc Intervent Radiol","	0174-1551"
2964,"	Pediatrics","	0031-4005"
2965,"	Clin Gastroenterol Hepatol","	1542-3565"
2966,"	J Korean Acad Nurs","	2005-3673"
2967,"	Surg Laparosc Endosc Percutan Tech","	1530-4515"
2968,"	Scand J Gastroenterol","	0036-5521"
2969,"	Hong Kong Med J","	1024-2708"
2970,"	Telemed J E Health","	1530-5627"
2971,"	BMJ Open","	2044-6055"
2972,"	Am J Manag Care","	1088-0224"
2973,"	Birth","	0730-7659"
2974,"	Surg Endosc","	0930-2794"
2975,"	PLoS Med","	1549-1277"
2976,"	BMJ Open","	2044-6055"
2977,"	Diabetes Metab Res Rev","	1520-7552"
2978,"	Clin Exp Rheumatol","	0392-856X"
2979,"	J Palliat Med","	1557-7740"
2980,"	PLoS One","	1932-6203"
2981,"	Rev Gaucha Enferm","	0102-6933"
2982,"	Spine (Phila Pa 1976)","	0362-2436"
2983,"	BMC Med Res Methodol","	1471-2288"
2984,"	Clin Breast Cancer","	1526-8209"
2985,"	J Cardiothorac Vasc Anesth","	1053-0770"
2986,"	BMC Fam Pract","	1471-2296"
2987,"	Pediatr Blood Cancer","	1545-5009"
2988,"	Plast Reconstr Surg","	0032-1052"
2989,"	J Trauma Acute Care Surg","	2163-0755"
2990,"	Med Clin (Barc)","	0025-7753"
2991,"	World Neurosurg","	1878-8750"
2992,"	Ostomy Wound Manage","	0889-5899"
2993,"	JAMA Ophthalmol","	2168-6165"
2994,"	J Cancer Res Clin Oncol","	0171-5216"
2995,"	BMJ Open","	2044-6055"
2996,"	Anesthesiology","	0003-3022"
2997,"	Crit Care Med","	0090-3493"
2998,"	Cjem","	1481-8035"
2999,"	J Minim Invasive Gynecol","	1553-4650"
3000,"	BMC Med Res Methodol","	1471-2288"
3001,"	Rheumatol Int","	0172-8172"
3002,"	Rheumatol Int","	0172-8172"
3003,"	J Natl Med Assoc","	0027-9684"
3004,"	Rev Med Chir Soc Med Nat Iasi","	0048-7848"
3005,"	J Burn Care Res","	1559-047x"
3006,"	J Orthop Trauma","	0890-5339"
3007,"	Stapp Car Crash J","	1532-8546"
3008,"	J Contin Educ Nurs","	0022-0124"
3009,"	J Trauma","	0022-5282"
3010,"	J Pediatr Surg","	0022-3468"
3011,"	J Pediatr Gastroenterol Nutr","	0277-2116"
3012,"	J Surg Res","	0022-4804"
3013,"	Intensive Care Med","	0342-4642"
3014,"	Obesity (Silver Spring)","	1930-7381"
3015,"	Emerg Radiol","	1070-3004"
3016,"	Prehosp Emerg Care","	1090-3127"
3017,"	J Trauma Acute Care Surg","	2163-0755"
3018,"	Am J Manag Care","	1088-0224"
3019,"	J Trauma","	0022-5282"
3020,"	Cerebrovasc Dis","	1015-9770"
3021,"	BMC Musculoskelet Disord","	1471-2474"
3022,"	Emergencias","	1137-6821"
3023,"	Obstet Gynecol","	0029-7844"
3024,"	Asian J Androl","	1008-682X"
3025,"	Am J Ophthalmol","	0002-9394"
3026,"	J Am Med Inform Assoc","	1067-5027"
3027,"	Am J Manag Care","	1088-0224"
3028,"	Ann Pharmacother","	1060-0280"
3029,"	Comput Inform Nurs","	1538-2931"
3030,"	Pharmacoeconomics","	1170-7690"
3031,"	Pathog Glob Health","	2047-7724"
3032,"	West J Emerg Med","	1936-900X"
3033,"	Pract Radiat Oncol","	1879-8500"
3034,"	Eur J Trauma Emerg Surg","	1863-9933"
3035,"	Eur J Radiol","	0720-048x"
3036,"	J Trauma Acute Care Surg","	2163-0755"
3037,"	Dan Med J","	2245-1919"
3038,"	Injury","	0020-1383"
3039,"	J Trauma Acute Care Surg","	2163-0755"
3040,"	J Am Coll Cardiol","	0735-1097"
3041,"	Psychol Methods","	1082-989X"
3042,"	Anesteziol Reanimatol","	0201-7563"
3043,"	J Clin Endocrinol Metab","	0021-972x"
3044,"	J Trauma Acute Care Surg","	2163-0755"
3045,"	J Surg Res","	0022-4804"
3046,"	PLoS One","	1932-6203"
3047,"	Gulf J Oncolog","	2078-2101"
3048,"	Clin Gastroenterol Hepatol","	1542-3565"
3049,"	Inj Prev","	1353-8047"
3050,"	J Hand Surg Am","	0363-5023"
3051,"	Br J Ophthalmol","	0007-1161"
3052,"	Endoscopy","	0013-726x"
3053,"	Am J Rhinol Allergy","	1945-8932"
3054,"	Ann Plast Surg","	0148-7043"
3055,"	Foot Ankle Spec","	1938-6400"
3056,"	J Trauma Acute Care Surg","	2163-0755"
3057,"	Ann Allergy Asthma Immunol","	1081-1206"
3058,"	Acad Emerg Med","	1069-6563"
3059,"	J Trauma Acute Care Surg","	2163-0755"
3060,"	Drug Alcohol Depend","	0376-8716"
3061,"	Hip Int","	1120-7000"
3062,"	J Burn Care Res","	1559-047x"
3063,"	Laryngoscope","	0023-852x"
3064,"	Eur J Emerg Med","	0969-9546"
3065,"	Ann Plast Surg","	0148-7043"
3066,"	J Trauma Acute Care Surg","	2163-0755"
3067,"	Surg Laparosc Endosc Percutan Tech","	1530-4515"
3068,"	J Orthop Trauma","	0890-5339"
3069,"	Catheter Cardiovasc Interv","	1522-1946"
3070,"	PLoS One","	1932-6203"
3071,"	J Occup Rehabil","	1053-0487"
3072,"	Brain Inj","	0269-9052"
3073,"	Curr Med Res Opin","	0300-7995"
3074,"	J Clin Rheumatol","	1076-1608"
3075,"	World Neurosurg","	1878-8750"
3076,"	J Perinat Med","	0300-5577"
3077,"	J Obstet Gynecol Neonatal Nurs","	0090-0311"
3078,"	Int J Colorectal Dis","	0179-1958"
3079,"	Curr Med Res Opin","	0300-7995"
3080,"	Ann Vasc Surg","	0890-5096"
3081,"	Medicine (Baltimore)","	0025-7974"
3082,"	Acta Neurol Belg","	0300-9009"
3083,"	Prehosp Emerg Care","	1090-3127"
3084,"	Eur J Public Health","	1101-1262"
3085,"	Clin Gastroenterol Hepatol","	1542-3565"
3086,"	Scand J Trauma Resusc Emerg Med","	1757-7241"
3087,"	Pediatrics","	0031-4005"
3088,"	Am J Emerg Med","	0735-6757"
3089,"	West J Emerg Med","	1936-900X"
3090,"	Am J Hypertens","	0895-7061"
3091,"	J Surg Res","	0022-4804"
3092,"	Am Surg","	0003-1348"
3093,"	J Head Trauma Rehabil","	0885-9701"
3094,"	Chest","	0012-3692"
3095,"	Clin Transplant","	0902-0063"
3096,"	Transplantation","	0041-1337"
3097,"	J Trauma Acute Care Surg","	2163-0755"
3098,"	Clin Orthop Relat Res","	0009-921X"
3099,"	Trends Hear","	2331-2165"
3100,"	Infect Control Hosp Epidemiol","	0899-823X"
3101,"	J Pers Assess","	0022-3891"
3102,"	Clin Gastroenterol Hepatol","	1542-3565"
3103,"	J Vasc Surg","	0741-5214"
3104,"	Stroke","	0039-2499"
3105,"	J Burn Care Res","	1559-047x"
3106,"	Jt Comm J Qual Patient Saf","	1553-7250"
3107,"	Eur J Anaesthesiol","	0265-0215"
3108,"	J Hand Surg Am","	0363-5023"
3109,"	Am J Ophthalmol","	0002-9394"
3110,"	J Prim Care Community Health","	2150-1319"
3111,"	Int Wound J","	1742-4801"
3112,"	PLoS One","	1932-6203"
3113,"	J Med Imaging Radiat Oncol","	1754-9477"
3114,"	Vasc Health Risk Manag","	1176-6344"
3115,"	Vasc Health Risk Manag","	1176-6344"
3116,"	Surg Endosc","	0930-2794"
3117,"	Oral Oncol","	1368-8375"
3118,"	Am J Infect Control","	0196-6553"
3119,"	Cjem","	1481-8035"
3120,"	J Trauma Acute Care Surg","	2163-0755"
3121,"	J Neurotrauma","	0897-7151"
3122,"	J R Coll Physicians Edinb","	1478-2715"
3123,"	Stroke","	0039-2499"
3124,"	Burns","	0305-4179"
3125,"	Arthritis Care Res (Hoboken)","	2151-464x"
3126,"	Endoscopy","	0013-726x"
3127,"	South Med J","	0038-4348"
3128,"	J Orthop Sports Phys Ther","	0190-6011"
3129,"	Postgrad Med","	0032-5481"
3130,"	Eur Heart J Cardiovasc Pharmacother","	"
3131,"	J Shoulder Elbow Surg","	1058-2746"
3132,"	J Pediatr Surg","	0022-3468"
3133,"	Int J Cardiol","	0167-5273"
3134,"	Br J Ophthalmol","	0007-1161"
3135,"	Int J Environ Res Public Health","	1661-7827"
3136,"	J Trauma Acute Care Surg","	2163-0755"
3137,"	Clin Neurol Neurosurg","	0303-8467"
3138,"	J Stroke Cerebrovasc Dis","	1052-3057"
3139,"	J Forensic Sci","	0022-1198"
3140,"	Ir J Med Sci","	0021-1265"
3141,"	Scand J Trauma Resusc Emerg Med","	1757-7241"
3142,"	Pediatr Crit Care Med","	1529-7535"
3143,"	Integr Cancer Ther","	1534-7354"
3144,"	Enferm Clin","	1130-8621"
3145,"	Z Gerontol Geriatr","	0948-6704"
3146,"	J Korean Med Sci","	1011-8934"
3147,"	Foot Ankle Int","	1071-1007"
3148,"	AIDS Behav","	1090-7165"
3149,"	Stroke","	0039-2499"
3150,"	Gastrointest Endosc","	0016-5107"
3151,"	J Clin Pharm Ther","	0269-4727"
3152,"	J Clin Neurosci","	0967-5868"
3153,"	Am J Cardiol","	0002-9149"
3154,"	Implement Sci","	1748-5908"
3155,"	Surgery","	0039-6060"
3156,"	Gastrointest Endosc","	0016-5107"
3157,"	J Dig Dis","	1751-2972"
3158,"	Ann Surg","	0003-4932"
3159,"	J Digit Imaging","	0897-1889"
3160,"	Anaesth Crit Care Pain Med","	2352-5568"
3161,"	Ophthalmologe","	0941-293x"
3162,"	Beijing Da Xue Xue Bao Yi Xue Ban","	1671-167X"
3163,"	J Vet Intern Med","	0891-6640"
3164,"	Pediatr Neurol","	0887-8994"
3165,"	Pain Physician","	1533-3159"
3166,"	Diabetes Obes Metab","	1462-8902"
3167,"	Am Surg","	0003-1348"
3168,"	J Gerontol A Biol Sci Med Sci","	1079-5006"
3169,"	Acad Emerg Med","	1069-6563"
3170,"	J Neurooncol","	0167-594x"
3171,"	Appl Clin Inform","	1869-0327"
3172,"	Prehosp Disaster Med","	1049-023X"
3173,"	World Neurosurg","	1878-8750"
3174,"	Mil Med","	0026-4075"
3175,"	Thromb Haemost","	0340-6245"
3176,"	Cjem","	1481-8035"
3177,"	Am Surg","	0003-1348"
3178,"	J Trauma Acute Care Surg","	2163-0755"
3179,"	Arch Phys Med Rehabil","	0003-9993"
3180,"	Respiration","	0025-7931"
3181,"	Br J Gen Pract","	0960-1643"
3182,"	Gastroenterology","	0016-5085"
3183,"	Curr Med Res Opin","	0300-7995"
3184,"	J Surg Res","	0022-4804"
3185,"	Chronic Dis Inj Can","	1925-6515"
3186,"	Ther Innov Regul Sci","	2168-4790"
3187,"	Crit Care Med","	0090-3493"
3188,"	Hosp Pract (1995)","	2154-8331"
3189,"	Am J Health Syst Pharm","	1079-2082"
3190,"	PLoS One","	1932-6203"
3191,"	Rev Col Bras Cir","	0100-6991"
3192,"	J Burn Care Res","	1559-047x"
3193,"	Plast Reconstr Surg","	0032-1052"
3194,"	J Surg Res","	0022-4804"
3195,"	Pediatr Crit Care Med","	1529-7535"
3196,"	Neurosurgery","	0148-396x"
3197,"	BMJ Open","	2044-6055"
3198,"	Am Surg","	0003-1348"
3199,"	Kyobu Geka","	0021-5252"
3200,"	J Clin Sleep Med","	1550-9389"
3201,"	J Allergy Clin Immunol","	0091-6749"
3202,"	Tex Med","	0040-4470"
3203,"	Stroke","	0039-2499"
3204,"	J Bone Joint Surg Am","	0021-9355"
3205,"	J Manag Care Spec Pharm","	"
3206,"	Am J Nurs","	0002-936x"
3207,"	Gastroenterology","	0016-5085"
3208,"	J Vasc Surg","	0741-5214"
3209,"	J Am Heart Assoc","	2047-9980"
3210,"	Radiology","	0033-8419"
3211,"	Brain Inj","	0269-9052"
3212,"	Indian J Med Sci","	0019-5359"
3213,"	BMC Psychiatry","	1471-244x"
3214,"	Pediatr Emerg Care","	0749-5161"
3215,"	Urol Int","	0042-1138"
3216,"	Pediatr Crit Care Med","	1529-7535"
3217,"	Inflamm Bowel Dis","	1078-0998"
3218,"	Anesthesiology","	0003-3022"
3219,"	J Trauma Acute Care Surg","	2163-0755"
3220,"	Atheroscler Suppl","	1567-5688"
3221,"	J Vasc Surg","	0741-5214"
3222,"	Pediatrics","	0031-4005"
3223,"	Acad Emerg Med","	1069-6563"
3224,"	Acta Neurochir Suppl","	0065-1419"
3225,"	Dig Dis Sci","	0163-2116"
3226,"	Br J Neurosurg","	0268-8697"
3227,"	Am J Cardiol","	0002-9149"
3228,"	BMC Health Serv Res","	1472-6963"
3229,"	Surg Endosc","	0930-2794"
3230,"	J Pediatr Surg","	0022-3468"
3231,"	Lupus","	0961-2033"
3232,"	Intern Emerg Med","	1828-0447"
3233,"	Urology","	0090-4295"
3234,"	J Rheumatol","	0315-162X"
3235,"	Pediatr Crit Care Med","	1529-7535"
3236,"	Acta Radiol","	0284-1851"
3237,"	World J Emerg Surg","	1749-7922"
3238,"	Spine J","	1529-9430"
3239,"	Surg Infect (Larchmt)","	1096-2964"
3240,"	Eur J Pediatr","	0340-6199"
3241,"	Exp Clin Psychopharmacol","	1064-1297"
3242,"	J Trauma Acute Care Surg","	2163-0755"
3243,"	BMJ Open","	2044-6055"
3244,"	J Am Coll Cardiol","	0735-1097"
3245,"	Stroke","	0039-2499"
3246,"	J Am Med Dir Assoc","	1525-8610"
3247,"	Int J Radiat Oncol Biol Phys","	0360-3016"
3248,"	Prehosp Emerg Care","	1090-3127"
3249,"	Drugs R D","	1174-5886"
3250,"	J Biomed Inform","	1532-0464"
3251,"	Clin Neurol Neurosurg","	0303-8467"
3252,"	Drugs Aging","	1170-229x"
3253,"	Gastrointest Endosc","	0016-5107"
3254,"	Acta Paediatr","	0803-5253"
3255,"	Clin Gastroenterol Hepatol","	1542-3565"
3256,"	Ann R Coll Surg Engl","	0035-8843"
3257,"	Support Care Cancer","	0941-4355"
3258,"	JAMA Intern Med","	2168-6106"
3259,"	Adv Skin Wound Care","	1527-7941"
3260,"	Clin Exp Ophthalmol","	1442-6404"
3261,"	Top Spinal Cord Inj Rehabil","	1082-0744"
3262,"	J Trauma","	0022-5282"
3263,"	Emerg Med J","	1472-0205"
3264,"	Spine (Phila Pa 1976)","	0362-2436"
3265,"	Trials","	1745-6215"
3266,"	Rev Gastroenterol Mex","	0375-0906"
3267,"	Obes Surg","	0960-8923"
3268,"	Medicina (Kaunas)","	1010-660X"
3269,"	BMC Med Inform Decis Mak","	1472-6947"
3270,"	J Vasc Surg","	0741-5214"
3271,"	J Surg Res","	0022-4804"
3272,"	Pharmacoepidemiol Drug Saf","	1053-8569"
3273,"	J Gen Intern Med","	0884-8734"
3274,"	Microsurgery","	0738-1085"
3275,"	BMC Infect Dis","	1471-2334"
3276,"	Crit Care Med","	0090-3493"
3277,"	Clin Gastroenterol Hepatol","	1542-3565"
3278,"	BMJ Open","	2044-6055"
3279,"	Addict Behav","	0306-4603"
3280,"	Clin Ther","	0149-2918"
3281,"	J Med Internet Res","	1439-4456"
3282,"	Eksp Klin Gastroenterol","	1682-8658"
3283,"	J Bone Joint Surg Am","	0021-9355"
3284,"	Surgery","	0039-6060"
3285,"	J Hand Surg Am","	0363-5023"
3286,"	Traffic Inj Prev","	1538-9588"
3287,"	Eur J Dermatol","	1167-1122"
3288,"	Indian J Tuberc","	0019-5707"
3289,"	Comput Inform Nurs","	1538-2931"
3290,"	J Orthop Trauma","	0890-5339"
3291,"	J Cardiothorac Vasc Anesth","	1053-0770"
3292,"	Injury","	0020-1383"
3293,"	Radiology","	0033-8419"
3294,"	Otolaryngol Head Neck Surg","	0194-5998"
3295,"	J Surg Res","	0022-4804"
3296,"	Support Care Cancer","	0941-4355"
3297,"	Otolaryngol Head Neck Surg","	0194-5998"
3298,"	Trials","	1745-6215"
3299,"	J Fam Pract","	0094-3509"
3300,"	Eur J Obstet Gynecol Reprod Biol","	0301-2115"
3301,"	J Lipid Res","	0022-2275"
3302,"	J Palliat Med","	1096-6218"
3303,"	BMJ Open","	2044-6055"
3304,"	Asia Pac J Clin Oncol","	1743-7555"
3305,"	Ann Plast Surg","	0148-7043"
3306,"	J Pediatr Urol","	1477-5131"
3307,"	J Knee Surg","	1538-8506"
3308,"	Am Surg","	0003-1348"
3309,"	Gut","	0017-5749"
3310,"	J Clin Gastroenterol","	0192-0790"
3311,"	Resuscitation","	0300-9572"
3312,"	BMJ Open","	2044-6055"
3313,"	Pharmacoepidemiol Drug Saf","	1053-8569"
3314,"	Alcohol Clin Exp Res","	0145-6008"
3315,"	BMC Med Res Methodol","	1471-2288"
3316,"	J Neurosurg Spine","	1547-5646"
3317,"	J Trauma Acute Care Surg","	2163-0755"
3318,"	Bmj","	0959-8138"
3319,"	Dig Endosc","	0915-5635"
3320,"	World Neurosurg","	1878-8750"
3321,"	J Orthop Trauma","	0890-5339"
3322,"	J Urol","	0022-5347"
3323,"	Can Fam Physician","	0008-350X"
3324,"	J Am Coll Cardiol","	0735-1097"
3325,"	Rev Esp Cardiol (Engl Ed)","	1885-5857"
3326,"	Ann Plast Surg","	0148-7043"
3327,"	BMC Public Health","	1471-2458"
3328,"	Ann Cardiol Angeiol (Paris)","	0003-3928"
3329,"	AIDS Care","	0954-0121"
3330,"	Am Surg","	0003-1348"
3331,"	Qual Manag Health Care","	1063-8628"
3332,"	JAMA Intern Med","	2168-6106"
3333,"	J Stroke Cerebrovasc Dis","	1052-3057"
3334,"	JAMA Neurol","	2168-6149"
3335,"	J Rehabil Res Dev","	0748-7711"
3336,"	J Orthop Trauma","	0890-5339"
3337,"	Prev Chronic Dis","	1545-1151"
3338,"	Stroke","	0039-2499"
3339,"	J Urol","	0022-5347"
3340,"	Lancet Public Health","	"
3341,"	Dis Esophagus","	1120-8694"
3342,"	J Burn Care Res","	1559-047x"
3343,"	J Am Geriatr Soc","	0002-8614"
3344,"	Drug Saf","	0114-5916"
3345,"	Spine J","	1529-9430"
3346,"	J Wound Ostomy Continence Nurs","	1071-5754"
3347,"	Perm J","	1552-5767"
3348,"	Arch Phys Med Rehabil","	0003-9993"
3349,"	J Res Health Sci","	2228-7795"
3350,"	Z Evid Fortbild Qual Gesundhwes","	1865-9217"
3351,"	Subst Abus","	0889-7077"
3352,"	Circ Heart Fail","	1941-3289"
3353,"	Am Surg","	0003-1348"
3354,"	Arthritis Care Res (Hoboken)","	2151-464X"
3355,"	Can J Urol","	1195-9479"
3356,"	Ann Surg","	0003-4932"
3357,"	An Bras Dermatol","	0365-0596"
3358,"	Qual Life Res","	0962-9343"
3359,"	J Orthop Sports Phys Ther","	0190-6011"
3360,"	J Neurol Neurosurg Psychiatry","	0022-3050"
3361,"	Am J Surg","	0002-9610"
3362,"	Nord J Psychiatry","	0803-9488"
3363,"	BMJ Open","	2044-6055"
3364,"	Int J Public Health","	1661-8556"
3365,"	J R Army Med Corps","	0035-8665"
3366,"	Eur J Hum Genet","	1018-4813"
3367,"	J Trauma Acute Care Surg","	2163-0755"
3368,"	Am J Obstet Gynecol","	0002-9378"
3369,"	Nephron","	1660-8151"
3370,"	Resuscitation","	0300-9572"
3371,"	Epidemiol Infect","	0950-2688"
3372,"	PLoS One","	1932-6203"
3373,"	Am J Respir Crit Care Med","	1073-449x"
3374,"	J Trauma Acute Care Surg","	2163-0755"
3375,"	J Intensive Care Med","	0885-0666"
3376,"	Rev Esp Cardiol (Engl Ed)","	1885-5857"
3377,"	Pediatr Surg Int","	0179-0358"
3378,"	Reg Anesth Pain Med","	1098-7339"
3379,"	Inj Prev","	1353-8047"
3380,"	Surg Endosc","	0930-2794"
3381,"	Prehosp Disaster Med","	1049-023x"
3382,"	J Hosp Med","	1553-5592"
3383,"	Gait Posture","	0966-6362"
3384,"	JAMA Dermatol","	2168-6068"
3385,"	J Sports Med Phys Fitness","	0022-4707"
3386,"	Br J Gen Pract","	0960-1643"
3387,"	Can Respir J","	1198-2241"
3388,"	J Hand Surg Am","	0363-5023"
3389,"	J Interv Card Electrophysiol","	1383-875x"
3390,"	J Gen Intern Med","	0884-8734"
3391,"	J Adv Nurs","	0309-2402"
3392,"	Bone Joint J","	2049-4394"
3393,"	Arch Phys Med Rehabil","	0003-9993"
3394,"	Am J Med","	0002-9343"
3395,"	Foot Ankle Int","	1071-1007"
3396,"	Neurol India","	0028-3886"
3397,"	Diabetes Obes Metab","	1462-8902"
3398,"	J Vasc Surg","	0741-5214"
3399,"	Turk J Gastroenterol","	1300-4948"
3400,"	Circ J","	1346-9843"
3401,"	Am J Health Syst Pharm","	1079-2082"
3402,"	Surg Endosc","	0930-2794"
3403,"	Am J Surg","	0002-9610"
3404,"	J Am Soc Nephrol","	1046-6673"
3405,"	Stroke","	0039-2499"
3406,"	J Trauma Acute Care Surg","	2163-0755"
3407,"	J Am Heart Assoc","	2047-9980"
3408,"	Zhonghua Wei Chang Wai Ke Za Zhi","	1671-0274"
3409,"	Am J Kidney Dis","	0272-6386"
3410,"	Rev Esc Enferm USP","	0080-6234"
3411,"	Soc Psychiatry Psychiatr Epidemiol","	0933-7954"
3412,"	Clin Genitourin Cancer","	1558-7673"
3413,"	Nutr Metab Cardiovasc Dis","	0939-4753"
3414,"	Qual Life Res","	0962-9343"
3415,"	J Infect Chemother","	1341-321x"
3416,"	J Trauma Acute Care Surg","	2163-0755"
3417,"	BMC Complement Altern Med","	1472-6882"
3418,"	Eur Urol","	0302-2838"
3419,"	J Clin Gastroenterol","	0192-0790"
3420,"	Perm J","	1552-5767"
3421,"	Biometrics","	0006-341X"
3422,"	Spine (Phila Pa 1976)","	0362-2436"
3423,"	Acad Emerg Med","	1069-6563"
3424,"	Pediatr Emerg Care","	0749-5161"
3425,"	Neurosurg Focus","	1092-0684"
3426,"	J Pediatr Gastroenterol Nutr","	0277-2116"
3427,"	Surg Obes Relat Dis","	1550-7289"
3428,"	J Neurotrauma","	0897-7151"
3429,"	BMC Psychiatry","	1471-244x"
3430,"	Transplant Proc","	0041-1345"
3431,"	J Am Coll Surg","	1072-7515"
3432,"	J Orthop Surg Res","	1749-799x"
3433,"	Qual Life Res","	0962-9343"
3434,"	Am J Clin Oncol","	0277-3732"
3435,"	JAMA Cardiol","	2380-6583"
3436,"	JAMA Surg","	2168-6254"
3437,"	Scand J Gastroenterol","	0036-5521"
3438,"	Burns","	0305-4179"
3439,"	Clin Neurol Neurosurg","	0303-8467"
3440,"	Neurosurg Focus","	1092-0684"
3441,"	Ann Plast Surg","	0148-7043"
3442,"	Ig Sanita Pubbl","	0019-1639"
3443,"	Inflamm Bowel Dis","	1078-0998"
3444,"	BMC Fam Pract","	1471-2296"
3445,"	Anesth Analg","	0003-2999"
3446,"	Cell Physiol Biochem","	1015-8987"
3447,"	PLoS One","	1932-6203"
3448,"	J Neurotrauma","	0897-7151"
3449,"	Trials","	1745-6215"
3450,"	Foot Ankle Surg","	1268-7731"
3451,"	J Orthop Sports Phys Ther","	0190-6011"
3452,"	Hypertension","	0194-911x"
3453,"	J Hand Surg Am","	0363-5023"
3454,"	Am J Clin Pathol","	0002-9173"
3455,"	Zhonghua Wei Chang Wai Ke Za Zhi","	1671-0274"
3456,"	Aten Primaria","	0212-6567"
3457,"	J Vasc Surg","	0741-5214"
3458,"	AJR Am J Roentgenol","	0361-803X"
3459,"	Support Care Cancer","	0941-4355"
3460,"	Res Social Adm Pharm","	1551-7411"
3461,"	J Trauma","	0022-5282"
3462,"	Gut","	0017-5749"
3463,"	World J Surg","	0364-2313"
3464,"	Int Wound J","	1742-4801"
3465,"	Dermatology","	1018-8665"
3466,"	Indian J Gastroenterol","	0254-8860"
3467,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
3468,"	Ann Otol Rhinol Laryngol","	0003-4894"
3469,"	J Child Adolesc Psychopharmacol","	1044-5463"
3470,"	World J Surg","	0364-2313"
3471,"	Resuscitation","	0300-9572"
3472,"	J Cardiovasc Pharmacol Ther","	1074-2484"
