1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
3385	Injury patterns after skiing and snowboarding sports accidents	Accession 	Number	Journal of Sports Medicine and Physical Finess
3386	PsyScan e-tool to support diagnosis and management of psychological problems in general practice: a randomised controlled trial	Accession 	Number	British Journal of General Practice
3387	The Effect of Hemoglobin Levels on Mortality in Pediatric Patients with Severe Traumatic Brain Injury	Accession 	Number	Canadian Respiratory Journal
3388	Patients lost to follow-up after metacarpal fractures	Accession 	Number	Journal of Hand Surgery
3389	Implantable loop recorders in the real world: a study of two Canadian centers	Accession 	Number	Journal of Interventional Cardiac Electrophysiology
3390	Triamterene Enhances the Blood Pressure Lowering Effect of Hydrochlorothiazide in Patients with Hypertension	Accession 	Number	Journal of General Internal Medicine
3391	Braden Scale: evaluation of clinical usefulness in an intensive care unit	Accession 	Number	Journal of Advanced Nursing
3392	Surgical approach significantly affects the complication rates associated with total hip arthroplasty	Accession 	Number	Bone Joint J
3393	Factors Affecting Employment After Burn Injury in the United States: A Burn Model System National Database Investigation	Accession 	Number	Archives of Physical Medicine and Rehabilitation
3394	Clinical Decision Support Reduces Overuse of Red Blood Cell Transfusions: Interrupted Time Series Analysis	Accession 	Number	American Journal of Medicine
3395	Analysis of PITFL injuries in rotationally unstable ankle fractures	Accession 	Number	Foot and Ankle International
3396	Elucidating the role of incidental use of beta-blockers in patients with metastatic brain tumors in controlling tumor progression and survivability	Accession 	Number	Neurology India
3397	Hypoglycaemia seriousness and weight gain as determinants of cardiovascular disease outcomes among sulfonylurea users	Accession 	Number	Diabetes, Obesity & Metabolism
3398	Intentional left subclavian artery coverage during thoracic endovascular aortic repair for traumatic aortic injury	Accession 	Number	Journal of Vascular Surgery
3399	Clinical outcomes of colorectal endoscopic submucosal dissection and risk factors associated with piecemeal resection	Accession 	Number	Turkish Journal of Gastroenterology
3400	Development of Atrioventricular Block and Diagnostic Value of Stored Electrograms in Patients With Sick Sinus Syndrome and Implanted Pacemaker	Accession 	Number	Circulation Journal
3401	Development and validation of a transitions-of-care pharmacist tool to predict potentially avoidable 30-day readmissions	Accession 	Number	American Journal of Health-System Pharmacy
3402	Endoscopic resection of duodenal neoplasms: a single-center study	Accession 	Number	Surgical Endoscopy
3403	Insurance status is a potent predictor of outcomes in both blunt and penetrating trauma	Accession 	Number	American Journal of Surgery
3404	Clinical Decision Support for In-Hospital AKI	Accession 	Number	Journal of the American Society of Nephrology
3405	Multimodal recanalization therapy in acute basilar artery occlusion: long-term functional outcome and quality of life	Accession 	Number	Stroke
3406	Optimal timing of initiation of thromboprophylaxis in spine trauma managed operatively: A nationwide propensity-matched analysis of trauma quality improvement program	Accession 	Number	J Trauma Acute Care Surg
3407	Impact of Sustained Use of a Multifaceted Computerized Quality Improvement Intervention for Cardiovascular Disease Management in Australian Primary Health Care	Accession 	Number	J Am Heart Assoc
3408	[Efficacy comparison between two-field and three-field lymphadenectomy for thoracic esophageal squamous cell carcinoma]	Accession 	Number	Zhonghua Wei Chang Wai Ke Za Zhi Chinese Journal of Gastrointestinal Surgery
3409	Association of intradialytic blood pressure variability with increased all-cause and cardiovascular mortality in patients treated with long-term hemodialysis	Accession 	Number	American Journal of Kidney Diseases
3410	Catheter-associated urinary tract infection: why do not we control this adverse event?	Accession 	Number	Revista da Escola de Enfermagem da USP
3411	Incidence of major depression diagnoses in the Canadian Armed Forces: longitudinal analysis of clinical and health administrative data	Accession 	Number	Social Psychiatry and Psychiatric Epidemiology
3412	Sequencing of Cabazitaxel and Abiraterone Acetate After Docetaxel in Metastatic Castration-Resistant Prostate Cancer: Treatment Patterns and Clinical Outcomes in Multicenter Community-Based US Oncology Practices	Accession 	Number	Clinical Genitourinary Cancer
3413	Hyperuricemia is associated with increased hospitalization risk and healthcare costs: Evidence from an administrative database in Italy	Accession 	Number	Nutrition, Metabolism, and Cardiovascular Diseases
3414	The sensitivity of the MOS SF-12 and PROMIS¬Æ global summary scores to adverse health events in an older cohort	Accession 	Number	Quality of Life Research
3415	Greater burden of chronic comorbidities and co-medications among people living with HIV versus people without HIV in Japan: A hospital claims database study	Accession 	Number	J Infect Chemother
3416	Epidemiology of modern battlefield colorectal trauma: a review of 977 coalition casualties	Accession 	Number	J Trauma Acute Care Surg
3417	Bioelectrical Impedance Analysis (BIA) of the association of the Japanese Kampo concept "Suidoku" (fluid disturbance) and the body composition of women	Accession 	Number	BMC Complementary and Alternative Medicine
3418	Complications of laparoscopic and percutaneous renal cryoablation in a single tertiary referral center	Accession 	Number	European Urology
3419	Association of Statins With Decreased Acute Pancreatitis Severity: A Propensity Score Analysis	Accession 	Number	Journal of Clinical Gastroenterology
3420	Family Characteristics Associated with Likelihood of Varicella Vaccination	Accession 	Number	Perm J
3421	A hot-deck multiple imputation procedure for gaps in longitudinal recurrent event histories	Accession 	Number	Biometrics
3422	A novel classification system for traumatic central cord syndrome: the central cord injury scale (CCIS)	Accession 	Number	Spine
3423	A Decision Instrument to Identify Isolated Traumatic Subdural Hematomas at Low Risk of Neurologic Deterioration, Surgical Intervention, or Radiographic Worsening	Accession 	Number	Academic Emergency Medicine
3424	Pediatric injuries associated with fireplaces, United States, 2002-2007	Accession 	Number	Pediatric Emergency Care
3425	Does an enhanced recovery after surgery protocol change costs and outcomes of single-level lumbar microdiscectomy?	Accession 	Number	Neurosurgical Focus
3426	Is the Scout Out? The Utility of Scout Radiographs in the Pediatric Upper Gastrointestinal Examination	Accession 	Number	Journal of Pediatric Gastroenterology and Nutrition
3427	Prevalence of anemia after Roux-en-Y gastric bypass surgery: what is the right number?	Accession 	Number	Surgery for Obesity and Related Diseases
3428	Non-neurological outcomes after complete traumatic spinal cord injury: the impact of surgical timing	Accession 	Number	Journal of Neurotrauma
3429	Risk factors for dementia in the ninth decade of life and beyond: a study of the Lothian birth cohort 1921	Accession 	Number	BMC Psychiatry
3430	A model to predict progression in brain-injured patients	Accession 	Number	Transplantation Proceedings
3431	Inadequate venous thromboembolism risk stratification predicts venous thromboembolic events in surgical intensive care unit patients	Accession 	Number	Journal of the American College of Surgeons
3432	Incidence and predictors of surgical site infection after ORIF in calcaneus fractures, a retrospective cohort study	Accession 	Number	Journal of Orthopaedic Surgery and Research
3433	The relationship between economic characteristics and health-related quality of life in newly diagnosed cancer patients in Southeast Asia: results from an observational study	Accession 	Number	Quality of Life Research
3434	Do Sociodemographic Factors Influence Outcome in Prostate Cancer Patients Treated With External Beam Radiation Therapy?	Accession 	Number	American Journal of Clinical Oncology
3435	Temporal Trends and Patterns in Mortality After Incident Heart Failure: A Longitudinal Analysis of 86‚ÄØ000 Individuals	Accession 	Number	JAMA Cardiol
3436	National Readmission Patterns of Isolated Splenic Injuries Based on Initial Management Strategy	Accession 	Number	JAMA Surg
3437	Long-term follow-up after EMR of large colorectal lesions: metachronous lesions, predictors and surveillance timing	Accession 	Number	Scandinavian Journal of Gastroenterology
3438	Rising mortality in patients with combined burn and trauma	Accession 	Number	Burns
3439	The incidence of dural tears after complete resection of lumbar synovial cysts and the relation to the outcome	Accession 	Number	Clinical Neurology and Neurosurgery
3440	Rate of shunt revision as a function of age in patients with shunted hydrocephalus due to myelomeningocele	Accession 	Number	Neurosurgical Focus
3441	A Cohort Study of Paramedian Forehead Flap in 2 Stages (87 Flaps) and 3 Stages (100 Flaps)	Accession 	Number	Annals of Plastic Surgery
3442	The diagnostic delay of oral carcinoma	Accession 	Number	Ig Sanita Pubbl
3443	Mucosal Healing in Clinical Practice: A Single-Center Pediatric IBD Experience	Accession 	Number	Inflammatory Bowel Diseases
3444	Does an increase in visits to general practice indicate a malignancy?	Accession 	Number	BMC Family Practice
3445	Perianesthetic and Anesthesia-Related Mortality in a Southeastern United States Population: A Longitudinal Review of a Prospectively Collected Quality Assurance Data Base	Accession 	Number	Anesthesia and Analgesia
3446	Serum Procalcitonin Level and Mortality Risk in Critically ill Patients with Ventilator-Associated Pneumonia	Accession 	Number	Cellular Physiology and Biochemistry
3447	Systematic evaluation of the patient-reported outcome (PRO) content of clinical trial protocols	Accession 	Number	PloS One
3448	Monitoring of Optimal Cerebral Perfusion Pressure in Traumatic Brain Injured Patients Using a Multi-Window Weighting Algorithm	Accession 	Number	Journal of Neurotrauma
3449	Simulated patient encounters to improve adolescent retention in HIV care in Kenya: study protocol of a stepped-wedge randomized controlled trial	Accession 	Number	Trials
3450	Is arthroscopic assisted percutaneous screw fixation as good as open reduction and internal fixation for the treatment of displaced intra-articular calcaneal fractures?	Accession 	Number	Foot and Ankle Surgery
3451	Clinical Interpretation of the Neck Functional Status Computerized Adaptive Test	Accession 	Number	Journal of Orthopaedic and Sports Physical Therapy
3452	Associations of Initial Injury Severity and Posttraumatic Stress Disorder Diagnoses With Long-Term Hypertension Risk After Combat Injury	Accession 	Number	Hypertension
3453	Revision Proximal Interphalangeal Arthroplasty: An Outcome Analysis of 75 Consecutive Cases	Accession 	Number	Journal of Hand Surgery
3454	Ensuring the Quality of Point-of-Care Testing in a Large and Decentralized Ambulatory Care Setting	Accession 	Number	American Journal of Clinical Pathology
3455	[Efficacy comparison between surgical resection and endoscopic submucosal dissection of early gastric cancer in a domestic single center]	Accession 	Number	Zhonghua Wei Chang Wai Ke Za Zhi Chinese Journal of Gastrointestinal Surgery
3456	[Survival of patients with heart failure in primary care]	Accession 	Number	Atencion Primaria
3457	Increasing use of endovascular therapy in pediatric arterial trauma	Accession 	Number	Journal of Vascular Surgery
3458	Radiology Reports With Hyperlinks Improve Target Lesion Selection and Measurement Concordance in Cancer Trials	Accession 	Number	AJR: American Journal of Roentgenology
3459	The early discontinuation of palliative chemotherapy in older patients with cancer	Accession 	Number	Supportive Care in Cancer
3460	Quality of communication about medicines in United States hospitals: A national retrospective study	Accession 	Number	Research in Social & Administrative Pharmacy
3461	Racial odds for amputation ratio in traumatic lower extremity fractures	Accession 	Number	Journal of Trauma
3462	Wide-field endoscopic mucosal resection versus endoscopic submucosal dissection for laterally spreading colorectal lesions: a cost-effectiveness analysis	Accession 	Number	Gut
3463	Trauma during pregnancy: a population-based analysis of maternal outcome	Accession 	Number	World Journal of Surgery
3464	Incidence and risk factors for deep surgical site infection after open reduction and internal fixation of closed tibial plateau fractures in adults	Accession 	Number	International Wound Journal
3465	Low Utilization of the Dermatology Ambulatory Encounter among Patients with Hidradenitis Suppurativa: A Population-Based Retrospective Cohort Analysis in the USA	Accession 	Number	Dermatology
3466	Percutaneous endoscopic gastrostomy site infections-Incidence and risk factors	Accession 	Number	Indian Journal of Gastroenterology
3467	Impact of lung function on exacerbations, health care utilization, and costs among patients with COPD	Accession 	Number	International Journal of Chronic Obstructive Pulmonary Disease
3468	An Evaluation of On-Call Otolaryngology Consultations: Assessing an Increasing Workload	Accession 	Number	Annals of Otology, Rhinology and Laryngology
3469	Risk factors for weight gain and metabolic syndrome in adolescents with psychiatric disorders: a historical prospective study	Accession 	Number	Journal of Child and Adolescent Psychopharmacology
3470	A Novel Prediction Model for Bloodstream Infections in Hepatobiliary-Pancreatic Surgery Patients	Accession 	Number	World Journal of Surgery
3471	Trends in co-morbidities and survival for in-hospital cardiac arrest -A Swedish cohort study	Accession 	Number	Resuscitation
3472	Effectiveness of Statins as Primary Prevention in People With Gout: A Population-Based Cohort Study	Accession 	Number	Journal of Cardiovascular Pharmacology and Therapeutics
3473	Validation of CD4(+) T-cell and viral load data from the HIV-Brazil Cohort Study using secondary system data	Accession 	Number	BMC Infectious Diseases
3474	Transgelin-2 expression in breast cancer and its relationships with clinicopathological features and patient outcome	Accession 	Number	Breast Cancer
3475	Analyzing multiple risk factors in patients with sarcomas. A case-control study	Accession 	Number	Indian Journal of Cancer
3476	Hospitalizations for pertussis in Italy, 1999-2009: analysis of the hospital discharge database	Accession 	Number	European Journal of Pediatrics
3477	Prevalence and implications of preinjury warfarin use: an analysis of the National Trauma Databank	Accession 	Number	Archives of Surgery
3478	Primary Anterolateral Ligament Rupture in Patients Requiring Revision Anterior Cruciate Ligament Reconstruction: A Retrospective Case-Control Magnetic Resonance Imaging Review	Accession 	Number	Arthroscopy
3479	Using generalized estimating equations and extensions in randomized trials with missing longitudinal patient reported outcome data	Accession 	Number	Psycho-Oncology
3480	Comparison of compensatory reserve and arterial lactate as markers of shock and resuscitation	Accession 	Number	J Trauma Acute Care Surg
3481	Flail chest injuries: a review of outcomes and treatment practices from the National Trauma Data Bank	Accession 	Number	J Trauma Acute Care Surg
3482	Preoperative and operation-related risk factors for postoperative nosocomial infections in pediatric patients: A retrospective cohort study	Accession 	Number	PloS One
3483	Review of non-battle injuries in Air Force personnel deployed in support of Operation Enduring Freedom and Operation Iraqi Freedom	Accession 	Number	Military Medicine
3484	Frequency of coronary angiography and revascularization among men and women with myocardial infarction and their relationship to mortality at one year: an analysis of the Geisinger myocardial infarction cohort	Accession 	Number	Journal of Interventional Cardiology
3485	Incidence and Clinical Outcome of Hypophosphatemia in Pediatric Burn Patients	Accession 	Number	J Burn Care Res
3486	Therapeutic management of inflammatory bowel disease in real-life practice in the current era of anti-TNF agents: analysis of the French administrative health databases 2009-2014	Accession 	Number	Alimentary Pharmacology and Therapeutics
3487	High risk of loss to follow-up among South African children on ART during transfer, a retrospective cohort analysis with community tracing	Accession 	Number	Journal of the International AIDS Society
3488	Incidence and outcomes of cricothyrotomy in the "cannot intubate, cannot oxygenate" situation	Accession 	Number	Medicine (Baltimore)
3489	The survivorship of the link endo-rotational hinge total knee arthroplasty: 5-12-year follow-up of 100 patients	Accession 	Number	Archives of Orthopaedic and Trauma Surgery
3490	Effectiveness of a multifaceted implementation strategy compared to usual care on low back pain guideline adherence among general practitioners	Accession 	Number	BMC Health Services Research
3491	Number of rib fractures thresholds independently predict worse outcomes in older patients with blunt trauma	Accession 	Number	Surgery
3492	Vital Sign Abnormalities on Discharge Do Not Predict 30-Day Readmission	Accession 	Number	Clinical Medicine & Research
3493	Incidence and survival trends for malignant pleural and peritoneal mesothelioma, Australia, 1982-2009	Accession 	Number	Occupational and Environmental Medicine
3494	Association of Mild Echocardiographic Pulmonary Hypertension With Mortality and Right Ventricular Function	Accession 	Number	JAMA Cardiol
3495	What are the appropriate methods for analyzing patient-reported outcomes in randomized trials when data are missing?	Accession 	Number	Statistical Methods in Medical Research
3496	Higher BMI predicts additional surgery at the time of ACL reconstruction	Accession 	Number	Knee Surgery, Sports Traumatology, Arthroscopy
3497	Incidence and risk factors for infection in spine surgery: A prospective multicenter study of 1764 instrumented spinal procedures	Accession 	Number	American Journal of Infection Control
3498	Future Osteoporotic Fracture Risk Related to Lumbar Vertebral Trabecular Attenuation Measured at Routine Body CT	Accession 	Number	Journal of Bone and Mineral Research
3499	What comes first? The dynamics of cerebral oxygenation and blood flow in response to changes in arterial pressure and intracranial pressure after head injury	Accession 	Number	British Journal of Anaesthesia
3500	[Transosseous refixation of the common extensor muscle tendons in chronic lateral epicondylitis with and without additional reconstruction of the LUCL--a retrospective evaluation of 101 patients]	Accession 	Number	Zeitschrift für Orthopädie und Unfallchirurgie
3501	Evaluating the use of existing data sources, probabilistic linkage, and multiple imputation to build population-based injury databases across phases of trauma care	Accession 	Number	Academic Emergency Medicine
3502	Umbilical hernia repair with composite prosthesis: a single-centre experience	Accession 	Number	Hernia: The Journal of Hernias and Abdominal Wall Surgery
3503	Patterns of substance use and mortality risk in a cohort of 'hard-to-reach' polysubstance users	Accession 	Number	Addiction
3504	An Interprofessional Quality Improvement Initiative to Standardize Pediatric Extubation Readiness Assessment	Accession 	Number	Pediatric Critical Care Medicine
3505	Statin usage and all-cause and disease-specific mortality in a nationwide study	Accession 	Number	Pharmacoepidemiology and Drug Safety
3506	Incidence Rate of Herpes Zoster Ophthalmicus: A Retrospective Cohort Study from 1994 through 2018	Accession 	Number	Ophthalmology
3507	Risk Factors for Delayed Hemorrhage after Colonic Endoscopic Mucosal Resection in Patients Not on Antithrombotic Therapy: Retrospective Analysis of 3,844 Polyps of 1,660 Patients	Accession 	Number	Digestion
3508	All at-risk patients are not created equal: analysis of Braden pressure ulcer risk scores to identify specific risks	Accession 	Number	Journal of Wound, Ostomy and Continence Nursing
3509	Adverse Events With the Use of rhBMP-2 in Thoracolumbar and Lumbar Spine Fusions: A 9-Year Institutional Analysis	Accession 	Number	J Spinal Disord Tech
3510	Opioid-prescribing Practices in a Graduate Endodontic Clinic before and after Implementation of the Federal Schedule II Prescribing Mandate	Accession 	Number	Journal of Endodontics
3511	Age as a determinant for dissemination of seasonal and pandemic influenza: an open cohort study of influenza outbreaks in √ñsterg√∂tland County, Sweden	Accession 	Number	PloS One
3512	[Results of applying a paediatric early warning score system as a healthcare quality improvement plan]	Accession 	Number	Rev Calid Asist
3513	Patient-reported outcomes following parotid-sparing intensity-modulated radiotherapy for head and neck cancer. How important is dysphagia?	Accession 	Number	Oral Oncology
3514	Treatment of Severe Gynecomastia After Massive Weight Loss: Analysis of Long-Term Outcomes Measured with the Italian Version of the BODY-Q	Accession 	Number	Aesthetic Plastic Surgery
3515	Sociodemographic characteristics and chronic medical conditions as risk factors for herpes zoster: a population-based study from primary care in Madrid (Spain)	Accession 	Number	Human Vaccines & Immunotherapeutics
3516	Possible Synergistic Interactions Among Multiple HPV Genotypes in Women Suffering from Genital Neoplasia	Accession 	Number	Asian Pacific Journal of Cancer Prevention
3517	Change in plasma gelsolin level after traumatic brain injury	Accession 	Number	J Trauma Acute Care Surg
3518	Using the Patient Reported Outcomes Measurement Information System to Evaluate Psychosocial Functioning among Children with Craniofacial Anomalies	Accession 	Number	Plastic and Reconstructive Surgery
3519	Predicting hospital admission at the emergency department triage: A novel prediction model	Accession 	Number	American Journal of Emergency Medicine
3520	Intraoperative monitoring for intracranial aneurysms: the Michigan experience	Accession 	Number	Journal of Clinical Neurophysiology
3521	A Retrospective, Descriptive Analysis of Hospital-acquired Deep Tissue Injuries	Accession 	Number	Ostomy/Wound Management
3522	Survival benefit of TIPS versus serial paracentesis in patients with refractory ascites: a single institution case-control propensity score analysis	Accession 	Number	Clinical Radiology
3523	A retrospective health policy analysis of the development and implementation of the voluntary health insurance system in Lebanon: learning from failure	Accession 	Number	Social Science and Medicine
3524	[Smoking prevention in preoperative patient factsheets]	Accession 	Number	Presse Medicale
3525	Comparative analysis of the efficacy of omega-3 fatty acids for hypertriglyceridaemia management in Korea	Accession 	Number	Journal of Clinical Pharmacy and Therapeutics
3526	Analysis of an incomplete binary outcome derived from frequently recorded longitudinal continuous data: application to daily pain evaluation	Accession 	Number	Statistics in Medicine
3527	Blunt injuries related to equestrian sports: results from an international prospective trauma database analysis	Accession 	Number	International Orthopaedics
3528	Considerations for using the 'brown bag' strategy to reconcile medications during routine outpatient office visits	Accession 	Number	Quality in Primary Care
3529	Determinants of life expectancy in the Eastern Mediterranean Region	Accession 	Number	Health Policy and Planning
3530	Civilian and military trauma: does civilian training prepare surgeons for the battlefield?	Accession 	Number	American Surgeon
3531	The unclosing premature mortality gap in gout: a general population-based study	Accession 	Number	Annals of the Rheumatic Diseases
3532	Variation of patient characteristics, management, and outcome with timing of surgery for aneurysmal subarachnoid hemorrhage	Accession 	Number	Journal of Neurosurgery
3533	The Charlson Index Is Insufficient to Control for Comorbidities in a National Trauma Registry	Accession 	Number	Journal of Surgical Research
3534	Body Temperature after EMS Transport: Association with Traumatic Brain Injury Outcomes	Accession 	Number	Prehospital Emergency Care
3535	Exploring the sources of 'missingness' in brain tissue monitoring datasets: an observational cohort study	Accession 	Number	Brain Injury
3536	Comparison of conservative and operative treatment for blunt carotid injuries: analysis of the National Trauma Data Bank	Accession 	Number	Journal of Vascular Surgery
3537	Lower Complication Rate Following Ankle Fracture Fixation by Orthopaedic Surgeons Versus Podiatrists	Accession 	Number	Journal of the American Academy of Orthopaedic Surgeons
3538	Rheumatoid factor testing in Spanish primary care: A population-based cohort study including 4.8 million subjects and almost half a million measurements	Accession 	Number	Reumatologia Clinica
3539	[Is initial success after Monarc(¬Æ) suburethral sling durable at mid-term evaluation?]	Accession 	Number	Progrès en Urologie
3540	Colonoscopy overuse in colorectal cancer screening and associated factors in Argentina: a retrospective cohort study	Accession 	Number	BMC Gastroenterology
3541	Disparities in adherence to and persistence with antihypertensive regimens: an exploratory analysis from a community-based provider network	Accession 	Number	Journal of the American Society of Hypertension
3542	Pressure Injury in a Community Population: A Descriptive Study	Accession 	Number	Journal of Wound, Ostomy and Continence Nursing
3543	Adherence to therapeutic and diagnostic recommendations in patients with femur fracture and at risk of re-fracture or death: results of an analysis of administrative databases	Accession 	Number	Reumatismo
3544	Outcomes after severe head injury: a National Trauma Data Bank-based comparison of Level I and Level II trauma centers	Accession 	Number	American Surgeon
3545	Geriatric assault victims treated at U.S. trauma centers: Five-year analysis of the national trauma data bank	Accession 	Number	Injury
3546	Access to specialist care: Optimizing the geographic configuration of trauma systems	Accession 	Number	J Trauma Acute Care Surg
3547	Closed suction drainage following routine primary total joint arthroplasty is associated with a higher transfusion rate and longer postoperative length of stay: a retrospective cohort study	Accession 	Number	Journal of Orthopaedic Surgery and Research
3548	Validity of the rheumatoid arthritis impact of disease (RAID) score and definition of cut-off points for disease activity states in a population-based European cohort of patients with rheumatoid arthritis	Accession 	Number	Joint, Bone, Spine: Revue du Rhumatisme
3549	Return to the Operating Room after Macular Surgery: IRIS Registry Analysis	Accession 	Number	Ophthalmology
3550	Preventive Effects of Renin-angiotensin System Inhibitors on Oxaliplatin-induced Peripheral Neuropathy: A Retrospective Observational Study	Accession 	Number	Clinical Therapeutics
3551	Sequential development among dimensions of job burnout and engagement among IT employees	Accession 	Number	Stress Health
3552	Dermatological conditions in military conscripts	Accession 	Number	Occupational Medicine (Oxford, England)
3553	Predicting neurologically intact survival after in-hospital cardiac arrest-external validation of the Good Outcome Following Attempted Resuscitation score	Accession 	Number	Resuscitation
3554	Value of antibiotic prophylaxis in routine knee arthroscopy : A¬†retrospective study	Accession 	Number	Orthopade
3555	Validation of Predictors of Fall Events in Hospitalized Patients With Cancer	Accession 	Number	Clinical Journal of Oncology Nursing
3556	Implementing CenteringPregnancy Group Prenatal Care for Minority Women Living with HIV at an Urban University Hospital	Accession 	Number	J Midwifery Womens Health
3557	Radiofrequency ablation for long- and ultralong-segment Barrett's esophagus: a comparative long-term follow-up study	Accession 	Number	Gastrointestinal Endoscopy
3558	Determinants of transfusion decisions in the ICU: haemoglobin concentration, what else? - a retrospective cohort study	Accession 	Number	Vox Sanguinis
3559	Correlation of Quantitative Motor State Assessment Using a Kinetograph and Patient Diaries in Advanced PD: Data from an Observational Study	Accession 	Number	PloS One
3560	Clinicians' Concerns About Mobile Ecological Momentary Assessment Tools Designed for Emerging Psychiatric Problems: Prospective Acceptability Assessment of the MEmind App	Accession 	Number	Journal of Medical Internet Research
3561	Optimising the clinical strategy for autoimmune liver diseases: Principles of value-based medicine	Accession 	Number	Biochim Biophys Acta Mol Basis Dis
3562	Influence of Palliative Care on Medical Treatment of Pediatric Patients with Complex Chronic Diseases at Cook Children's Medical Center	Accession 	Number	Journal of Palliative Medicine
3563	Depressed or not depressed: untangling symptoms of depression in patients hospitalized with coronary heart disease	Accession 	Number	American Journal of Critical Care
3564	Measuring the range of services clinicians are responsible for in ambulatory practice	Accession 	Number	Journal of Evaluation in Clinical Practice
3565	Physiologic Ovarian Cysts versus Other Ovarian and Adnexal Pathologic Changes in the Preadolescent and Adolescent Population: US and Surgical Follow-up	Accession 	Number	Radiology
3566	Barriers and facilitators to development and implementation of a rural primary health care intervention for dementia: a process evaluation	Accession 	Number	BMC Health Services Research
3567	Membership in a diabetes-care network and adherence to clinical practice guidelines for treating type 2 diabetes among general practitioners: A four-year follow-up	Accession 	Number	Primary Care Diabetes
3568	Depression, frailty, and all-cause mortality: a cohort study of men older than 75 years	Accession 	Number	Journal of the American Medical Directors Association
3569	Evolving changes in the management of early oesophageal adenocarcinoma in a tertiary centre	Accession 	Number	Irish Journal of Medical Science
3570	Prevalence of Childhood Obesity among Young Multiethnic Children from a Health Maintenance Organization in Hawaii	Accession 	Number	Child Obes
3571	Age differences in emergency department utilization and repeat visits among patients with opioid use disorder at an urban safety-net hospital: A focus on young adults	Accession 	Number	Drug and Alcohol Dependence
3572	Lipid-lowering medication is associated with decreased risk of diabetic retinopathy and the need for treatment in patients with type 2 diabetes: A real-world observational analysis of a health claims database	Accession 	Number	Diabetes, Obesity & Metabolism
3573	Effects of combined spinal epidural labor analgesia on episiotomy: a retrospective cohort study	Accession 	Number	BMC Anesthesiology
3574	Effects of systemic corticosteroids on blood eosinophil counts in asthma: real-world data	Accession 	Number	Journal of Asthma
3575	Risk of overall mortality and cardiovascular events in patients with type 2 diabetes on dual drug therapy including metformin: A large database study from the Cleveland Clinic	Accession 	Number	Journal of Diabetes
3576	Protocol for a prospective observational study to develop a frailty index for use in perioperative and critical care	Accession 	Number	BMJ Open
3577	Prevalence of dyslipidemia and lipid goal attainment in statin-treated subjects from 3 data sources: a retrospective analysis	Accession 	Number	J Am Heart Assoc
3578	Large Sessile Serrated Polyps Can Be Safely and Effectively Removed by Endoscopic Mucosal Resection	Accession 	Number	Clinical Gastroenterology and Hepatology
3579	Real-world anaplastic lymphoma kinase (ALK) rearrangement testing patterns, treatment sequences, and survival of ALK inhibitor-treated patients	Accession 	Number	Current Medical Research and Opinion
3580	Risk factors for local recurrence and appropriate surveillance interval after endoscopic resection	Accession 	Number	World Journal of Gastroenterology
3581	Women have better long-term prognosis than men after cardiac resynchronization therapy	Accession 	Number	Europace: European Pacing, Arrhythmias, and Cardiac Electrophysiology
3582	Tensor-based morphometry of cannabis use on brain structure in individuals at elevated genetic risk of schizophrenia	Accession 	Number	Psychological Medicine
3583	Early Prediction Model of Patient Hospitalization From the Pediatric Emergency Department	Accession 	Number	Pediatrics
3584	Survey of patient and physician influences and decision-making regarding CT utilization for minor head injury	Accession 	Number	Injury
3585	Association Between a Rule Change to Reduce Home Plate Collisions and Mild Traumatic Brain Injury and Other Injuries in Professional Baseball Players	Accession 	Number	American Journal of Sports Medicine
3586	Ventral hernia repair: outcomes change with long-term follow-up	Accession 	Number	JSLS: Journal of the Society of Laparoendoscopic Surgeons
3587	Comparisons of 30-day mortalities and 90-day functional recoveries after first and recurrent primary intracerebral hemorrhage attacks: a multiple-institute retrospective study	Accession 	Number	World Neurosurgery
3588	Predicting Risk of Postoperative Disease Recurrence in Crohn's Disease: Patients With Indolent Crohn's Disease Have Distinct Whole Transcriptome Profiles at the Time of First Surgery	Accession 	Number	Inflammatory Bowel Diseases
3589	Identification of ovarian cancer symptoms in health insurance claims data	Accession 	Number	J Womens Health (Larchmt)
3590	The effect of a major earthquake experienced during the first trimester of pregnancy on the risk of preterm birth	Accession 	Number	Australian and New Zealand Journal of Obstetrics and Gynaecology
3591	Diagnostic intervals and its association with breast, prostate, lung and colorectal cancer survival in England: historical cohort study using the Clinical Practice Research Datalink	Accession 	Number	PloS One
3592	Laparoscopic splenectomy for patients with liver cirrhosis: Improvement of liver function in patients with Child-Pugh class B	Accession 	Number	Surgery
3593	Utilizing Precision Medicine to Estimate Timing for Surgical Closure of Traumatic Extremity Wounds	Accession 	Number	Annals of Surgery
3594	Disease-Modifying Therapy Adherence and Associated Factors in a National Sample of Medicare Patients With Multiple Sclerosis	Accession 	Number	Value in Health
3595	Adherence to antidepressants is associated with lower mortality: a 4-year population-based cohort study	Accession 	Number	Journal of Clinical Psychiatry
3596	Diagnostic accuracy of the D-dimer in children	Accession 	Number	Archives of Disease in Childhood
3597	Effectiveness of Preoperative Antibiotics in Preventing Surgical Site Infection After Common Soft Tissue Procedures of the Hand	Accession 	Number	Clinical Orthopaedics and Related Research
3598	Relevance of AND-ASPEN criteria of malnutrition to predict hospital mortality in critically ill patients: A prospective study	Accession 	Number	Journal of Critical Care
